rmax1,beta1,rmax2,beta2,opt_growth,ropt1,ageless1,ropt2,ageless2
0.005676705678790724,0.2506681656105863,0.00898473129246683,0.2506681656105863,24.633928048113066,0.005676705678790724,True,0.00898473129246683,True
0.007194466881351266,0.0676368252268124,0.0064373668952235775,0.0676368252268124,24.666064492958963,0.007194466881351266,True,0.0064373668952235775,True
0.006242278067757955,0.03820031008638322,0.04733588911074608,0.03820031008638322,23.50166098147423,0.006242278067757955,True,0.03966317035508997,False
0.0071865178291478345,0.0724364284683884,0.0674437367248161,0.0724364284683884,22.80707537914687,0.0071865178291478345,True,0.06204133508510838,False
0.013647606466340197,0.23345145403908124,0.0006210403976576304,0.23345145403908124,24.64618779661279,0.013647606466340197,True,0.0006210403976576304,True
0.014975614424509388,0.025879764023249097,0.02791328227755462,0.025879764023249097,23.79574025031365,0.0146171815820237,False,0.02330568061213186,False
0.01895315465934995,0.1854038042332032,0.000834435268622767,0.1854038042332032,24.473953026169333,0.01895315465934995,True,0.000834435268622767,True
0.07649681119119074,0.10673626175768593,0.007197411217559022,0.10673626175768593,22.496274508142204,0.0737432336990839,False,0.007197411217559022,True
0.05370359651525406,0.28673463992604226,0.005923424014004407,0.28673463992604226,23.23213033744454,0.05370359651525406,True,0.005923424014004407,True
0.07562806335658345,0.11001634749478403,0.0014143032909067724,0.11001634749478403,22.699446015059472,0.07334221210221482,False,0.0014143032909067724,True
0.004968905672174498,0.12640523607408718,0.006008058984551457,0.12640523607408718,24.74893710572494,0.004968905672174498,True,0.006008058984551457,True
0.024962386541313837,0.08144787112952728,0.04934688319820529,0.08144787112952728,22.777525009265947,0.024962386541313837,True,0.04831067710967519,False
0.031236998358644952,0.08397354018064214,0.12942241515903463,0.08397354018064214,20.3320548119712,0.031236998358644952,True,0.11154703517451933,False
0.03193396632009356,0.09637856527513143,0.09163433465300835,0.09637856527513143,21.30278444449468,0.03193396632009356,True,0.08489611453917151,False
0.14426565484721826,0.13887750914910146,0.015054174140052628,0.13887750914910146,20.231355564883266,0.13473498744264248,False,0.015054174140052628,True
0.05314676108141771,0.29092062000008595,0.14093224595647655,0.29092062000008595,19.064867733254,0.05314676108141771,True,0.14040724595647658,False
0.10939828805010313,0.11673011873117863,0.0589187393832328,0.11673011873117863,19.926870975655557,0.10196758311671596,False,0.05816460685239454,False
0.09615600325270812,0.07451184270438728,0.023854989739098775,0.07451184270438728,21.491247743558745,0.08432597196280872,False,0.023854989739098775,True
0.030358934529660746,0.08628339249796889,0.018744810971652908,0.08628339249796889,23.564458809027943,0.030358934529660743,False,0.018744810971652905,False
0.009076495046306454,0.06639032508477923,0.024602836656857408,0.06639032508477923,24.04274094901282,0.009076495046306452,False,0.024602836656857408,True
0.020580658881625084,0.1407344369565544,0.07019121169359425,0.1407344369565544,22.26879354143168,0.020580658881625084,True,0.07019121169359424,False
0.03310331386526737,0.1428633841541255,0.01686736787171802,0.1428633841541255,23.532877649766217,0.03310331386526737,True,0.01686736787171802,True
0.006220015339717173,0.0017919917538286414,0.006450572386764572,0.0017919917538286414,24.832349236603463,0.002679617398684982,False,0.0027328291083984243,False
0.02473419823680025,0.1169185729016259,0.07619272105461324,0.1169185729016259,21.955235413860077,0.02473419823680025,True,0.074185389730826,False
0.1064685800390904,0.15220645041196057,0.012798906884513907,0.15220645041196057,21.393478498224543,0.10342660779247226,False,0.012798906884513907,True
0.07335460776893193,0.1847364318929592,0.08117607472337918,0.1847364318929592,20.285989098707706,0.07335460776893193,True,0.08117607472337918,True
0.09585979030822575,0.13077663458413,0.08319932445868944,0.13077663458413,19.567284006532283,0.09160689684011611,False,0.0804541570751435,False
0.02864338793635475,0.14577475351747163,0.04122878229573024,0.14577475351747163,22.913549442039336,0.028643387936354747,False,0.04122878229573024,True
0.040193852872744115,0.20438616808346094,0.01848190592838353,0.20438616808346094,23.261750150836118,0.040193852872744115,True,0.01848190592838353,True
0.04377339658584231,0.016973418761758667,0.011558748115985524,0.016973418761758667,23.639245701698695,0.02765231340251608,False,0.010538104170751524,False
0.05140041138531915,0.13530760209176837,0.09453114706430299,0.13530760209176837,20.569254621418484,0.05140041138531915,True,0.09130798781112154,False
0.09749058414335353,0.11262289854274397,0.0616838081085556,0.11262289854274397,20.193134235557554,0.09146188327385414,False,0.06045533675380972,False
0.010339115694140666,0.26021550108189356,0.0027765595079690363,0.26021550108189356,24.68217569323206,0.010339115694140666,True,0.0027765595079690363,True
0.031952965770997724,0.24630855732936657,0.023462084805529408,0.24630855732936657,23.363674666995983,0.031952965770997724,True,0.023462084805529405,False
0.03637124557988376,0.18903397309319445,0.07745822427106885,0.18903397309319445,21.547213627881995,0.03637124557988376,True,0.07745822427106885,True
0.09693630203343923,0.26218148495576543,0.03766586634580759,0.26218148495576543,20.903208918665456,0.09693630203343923,True,0.03766586634580758,False
0.09190817651437332,0.1386055248565546,0.014023263782683922,0.1386055248565546,21.801622069078753,0.08960905238080027,False,0.014023263782683922,True
0.028683802849851614,0.003969868782454494,0.15984959477125682,0.003969868782454494,23.189686888368367,0.009326795017113906,False,0.030496346210410072,False
0.009035817259881998,0.23958463427832213,0.023766796866934902,0.23958463427832213,24.06797408538226,0.009035817259881998,True,0.023766796866934902,True
0.0020253014483266937,0.16907126380348664,0.0002602587791349917,0.16907126380348664,25.020318160013908,0.0020253014483266937,True,0.0002602587791349917,True
0.1303833721714793,0.2907950915295808,0.03941241354674339,0.2907950915295808,19.813953415783256,0.1303833721714793,True,0.03941241354674339,True
