rmax1,beta1,rmax2,beta2,rmax3,beta3,rmax4,beta4,opt_growth,ropt1,ageless1,ropt2,ageless2,ropt3,ageless3,ropt4,ageless4
0.0005890047976144223,0.22007062376981046,0.0009201640150876482,0.22007062376981046,0.0010151237829972585,0.22007062376981046,0.003818163288075204,0.22007062376981046,24.89363095655918,0.0005890047976144223,True,0.0009201640150876482,True,0.0010151237829972585,True,0.003818163288075204,True
0.004954710497128987,0.20075704927119795,0.006751493535108774,0.20075704927119795,0.0020323543606444294,0.20075704927119795,0.008573299604558299,0.20075704927119795,24.395191936530477,0.004954710497128987,True,0.006751493535108774,True,0.0020323543606444294,True,0.008573299604558299,True
0.009767755209040854,0.1270328225654066,0.009591108019432004,0.1270328225654066,0.0015832140534452644,0.1270328225654066,0.006744524716874071,0.1270328225654066,24.227525620598257,0.009767755209040854,True,0.009591108019432004,True,0.0015832140534452644,True,0.006744524716874071,True
0.0008676960899032646,0.1100613788669222,0.0014179287713075254,0.1100613788669222,0.003996118794575814,0.1100613788669222,0.0038825201765873953,0.1100613788669222,24.77430801713448,0.0008676960899032646,True,0.0014179287713075254,True,0.003996118794575814,True,0.0038825201765873953,True
0.0011787200852356715,0.025102971876617176,0.0005382246679032171,0.025102971876617176,0.0042119098420821096,0.025102971876617176,0.004275042279070657,0.025102971876617176,24.773070728287642,0.0011787200852356715,True,0.0005382246679032171,True,0.0042119098420821096,True,0.004275042279070657,True
0.00415554474673612,0.21016064073570767,0.0018984339916375231,0.21016064073570767,0.009452617776037094,0.21016064073570767,0.010824410962817197,0.21016064073570767,24.272100093252675,0.00415554474673612,True,0.001898433991637523,False,0.009452617776037094,True,0.010824410962817197,True
0.003393741954832785,0.045885343796348003,0.00760041591031977,0.045885343796348003,0.026417755556904624,0.045885343796348003,0.009609976300028918,0.045885343796348003,23.65888106107685,0.003393741954832785,True,0.00760041591031977,True,0.022941668200303668,False,0.009609976300028918,True
0.00323664531815295,0.26393950547138045,0.0052882305368380745,0.26393950547138045,0.005837275831182753,0.26393950547138045,0.014362160691125576,0.26393950547138045,24.195159400933953,0.00323664531815295,True,0.0052882305368380745,True,0.005837275831182753,True,0.014362160691125576,True
0.0017199218021309443,0.01592080188468684,0.010082241292293992,0.01592080188468684,0.009213937375020503,0.01592080188468684,0.005579751128231757,0.01592080188468684,24.30665956436385,0.0017199218021309443,True,0.007752210536884916,False,0.007266330090145266,False,0.005127414284096958,False
0.010107111793058779,0.19866703206645275,0.00036872162939553647,0.19866703206645275,0.005837682571403945,0.19866703206645275,0.002999315035803967,0.19866703206645275,24.48876737535773,0.010107111793058779,True,0.00036872162939553647,True,0.005837682571403945,True,0.002999315035803967,True
0.008657443646553934,0.23043008946103907,0.0024638631892313183,0.23043008946103907,0.005968585628629551,0.23043008946103907,0.011426941052395587,0.23043008946103907,24.201630533025412,0.008657443646553934,True,0.0024638631892313183,True,0.005968585628629551,True,0.011426941052395587,True
0.0020234068108980954,0.029368875749920528,0.07598333145534229,0.029368875749920528,0.005600044706667268,0.029368875749920528,0.017545351768380617,0.029368875749920528,22.58584601395125,0.0020234068108980954,True,0.04623262719257988,False,0.005600044706667268,True,0.013960070932167196,False
0.0041690249672613686,0.04040206448695691,0.018138744869825953,0.04040206448695691,0.018405951057426116,0.04040206448695691,0.01590944904646374,0.04040206448695691,23.36109318230278,0.0041690249672613686,True,0.016223165302991727,False,0.01641845865740833,False,0.014597246340749059,False
0.009474256308766964,0.06599634145945103,0.008057926395518352,0.06599634145945103,0.012830400445642468,0.06599634145945103,0.04826538185666129,0.06599634145945103,22.722197248850907,0.009474256308766964,True,0.008057926395518352,True,0.012830400445642468,True,0.0416897156219036,False
0.00127302022548305,0.2283871057130878,0.0010364430557087412,0.2283871057130878,0.02710718966336413,0.2283871057130878,0.010017999794752274,0.2283871057130878,23.861206988657575,0.00127302022548305,True,0.0010364430557087412,True,0.02710718966336413,True,0.010017999794752274,True
4.070199693879158e-05,0.2783439808553628,0.014508183544136567,0.2783439808553628,0.005394157814416737,0.2783439808553628,0.0039843689697540655,0.2783439808553628,24.5993058777079,-5.9298003061208426e-05,False,0.014508183544136567,True,0.005394157814416737,True,0.0039843689697540655,True
0.014196110733362523,0.2097751995629691,0.0005837256118610898,0.2097751995629691,0.009720140065131463,0.2097751995629691,0.013780951228399932,0.2097751995629691,23.897437261177725,0.014196110733362523,True,0.0005837256118610898,True,0.009720140065131461,False,0.013780951228399932,True
0.005133804396211361,0.2740029236578429,0.015160230671344614,0.2740029236578429,0.006847563940361235,0.2740029236578429,0.019318272393078505,0.2740029236578429,23.642887203788803,0.005133804396211361,True,0.015160230671344612,False,0.006847563940361235,True,0.019318272393078505,True
0.010052366568307403,0.01140959746384563,0.07419947628139993,0.01140959746384563,0.03848418158519023,0.01140959746384563,0.018271250503470608,0.01140959746384563,22.54245227652683,0.00621286982439717,False,0.02722944656228197,False,0.016387501669939932,False,0.009458288173446667,False
0.0504016091294211,0.29665829052192955,0.005552542174539155,0.29665829052192955,0.00656415594139642,0.29665829052192955,0.0025265906822611716,0.29665829052192955,23.06346259376515,0.0504016091294211,True,0.005552542174539155,True,0.00656415594139642,True,0.0025265906822611716,True
0.00032132708985606594,0.23068909396998113,0.07238724423216658,0.23068909396998113,0.02518689105753674,0.23068909396998113,0.008300594060570569,0.23068909396998113,21.788373284576515,0.00032132708985606594,True,0.07146134323667824,False,0.025186891057536732,False,0.008300594060570567,False
