rmax1,beta1,rmax2,beta2,rmax3,beta3,opt_growth,ropt1,ageless1,ropt2,ageless2,ropt3,ageless3
0.14325351052985416,0.26004789813623874,0.08956053551205977,0.04013051475393557,0.17780324019022917,0.25156161177854136,13.24721201032961,0.14325351052985416,True,0.05623228985249172,False,0.16518032504505709,False
0.16506335675834338,0.09359025788545028,0.05388082284168781,0.28378228548985623,0.18144847728197974,0.15155235823219748,13.125293942371309,0.16506335675834338,True,0.05388082284168781,True,0.1588765574709008,False
0.18468764933268406,0.11135524701282994,0.195988608899078,0.24948894599744292,0.08529917889925874,0.19043942816437026,11.06127084837999,0.18468764933268406,True,0.18178131674035342,False,0.07989465028879042,False
0.18842098169062044,0.1926978352671627,0.010381784759189787,0.0005793417245034712,0.00398595683908503,0.230875117742294,19.03416260018731,0.18842098169062044,True,0.0014976161000476696,False,0.00398595683908503,True
0.016984506553666966,0.29398189819808973,0.13060331311174023,0.24339536442810716,0.1982549464588963,0.0265395495914505,16.96294206002641,0.016984506553666966,True,0.12278555518263584,False,0.08997794735193396,False
0.00717484180982923,0.03687618826182625,0.18458320055720606,0.25663206292228685,0.05484692266024339,0.09993996806838171,17.580576616959995,0.00717484180982923,True,0.1758529798002676,False,0.050511182322719686,False
0.13927793932559104,0.11791117318724555,0.04141766996892868,0.1743629811424452,0.19988357458528974,0.12416690805684384,13.930234381180094,0.13927793932559104,True,0.040718925533146294,False,0.16626795534034328,False
0.08548477864649717,0.2950852070072277,0.09497888089593544,0.013057561726969244,0.08474445269918353,0.2058499104744726,18.27907927194038,0.08548477864649717,True,0.03690124765478112,False,0.08195774293452714,False
0.06237133628487815,0.2985924080677989,0.05744787042820258,0.2927563213193863,0.11567526074846397,0.09843952891347738,18.029049015706402,0.06237133628487815,True,0.05744787042820258,True,0.09943482525799074,False
0.041473935467705635,0.06557664336565842,0.03598383938202297,0.1856953566382032,0.13982792101859062,0.12115089690243648,18.58729065030317,0.041473935467705635,True,0.03598383938202297,True,0.12332165117841556,False
0.007907230702601147,0.20256766134120524,0.17885911805459848,0.010969999819539025,0.14473054580642802,0.15303458367415232,18.331773014695,0.007907230702601147,True,0.050993152570070664,False,0.12804143368720444,False
0.04750876966984574,0.03388603779092898,0.03781525547358249,0.16381057447918856,0.06098546127494142,0.09190361909328765,20.587852486289968,0.04750876966984574,True,0.037815255473582485,False,0.05600734036457038,False
0.06860023345526108,0.16527398628091358,0.10902869055808802,0.10692334653436246,0.004337287065068142,0.25209954595926787,19.60473732017857,0.06860023345526108,True,0.0965953610489217,False,0.004337287065068142,True
0.0017285691340685758,0.1864849367647658,0.1316539967871248,0.1167923227129584,0.15008509415827856,0.2749711146363806,16.62437996901221,0.0017285691340685758,True,0.11415502329061233,False,0.14404233397716598,False
0.044498012553894004,0.09710596585088814,0.0029079694535922344,0.28559341321259046,0.008908717305566232,0.28711534969929164,23.335274328807877,0.044498012553894004,True,0.0029079694535922344,True,0.008908717305566232,True
0.10881306780900478,0.07696822074263736,0.19206469813126556,0.07254506490495535,0.19611143945481346,0.14749820896976482,11.700673000092385,0.10881306780900478,True,0.12402354778056754,False,0.15758953159175731,False
0.09057957754058263,0.09802965472324314,0.1502685693845135,0.11587408694823349,0.09497920309857183,0.05774455809720472,15.548398360357183,0.09057957754058263,True,0.12517067689322786,False,0.06831884849305266,False
0.11846642837801157,0.06510116203167214,0.0925671398789764,0.1319207161045674,0.12434430293147616,0.15471310899019824,14.985694780822797,0.11846642837801157,True,0.08365191992040302,False,0.11283156889468277,False
0.0581450956838013,0.07996170621442301,0.07796248760111307,0.2573745780005596,0.02941479054264191,0.06782074988813185,19.952937359316167,0.0581450956838013,True,0.07796248760111307,True,0.027955409131812776,False
0.07836486115212718,0.018574925900685248,0.12544659961692797,0.16292322109204652,0.09778842721184791,0.20629134066778257,15.916857420948638,0.07836486115212718,True,0.11555900443444884,False,0.09370625549028402,False
0.14514491423225423,0.24172335613378143,0.028904600158752326,0.13834559198431692,0.07361820417259701,0.07079265705290015,17.58568251650187,0.14514491423225423,True,0.028904600158752326,True,0.06168305380469402,False
0.19855153311350693,0.2512351142904493,0.11457541855256918,0.2322071130260501,0.03379486218626853,0.21343040112767703,14.428080666390123,0.19855153311350693,True,0.11018753509941337,False,0.03379486218626852,False
0.06049347280615332,0.006656915745858931,0.017647400503466835,0.26436680103870025,0.1264023724089959,0.283077338280013,18.755609359044833,0.06049347280615332,True,0.017647400503466835,True,0.12396180659458761,False
0.16057513490418912,0.20992515047308496,0.16181255126977526,0.24192438085488865,0.16882490401358266,0.18960697861263173,10.48610477730695,0.16057513490418912,True,0.14913088777550793,False,0.1503693087010614,False
0.19858409526044812,0.2770772973367508,0.12278197027077374,0.05489856772272792,0.11292264732359998,0.057328484605560476,13.207958336574142,0.19858409526044812,True,0.07987039324263726,False,0.07542593316771272,False
0.025024375661569336,0.08387015513005315,0.1715043614462784,0.059286168369846945,0.060174571464470354,0.2970413042576771,18.13365136819021,0.025024375661569336,True,0.11963700121667842,False,0.060174571464470354,True
0.07869428035224427,0.01935041334151947,0.07594702824204384,0.008735934816227153,0.012720789919072733,0.04302818049580164,21.116125588150517,0.07869428035224427,True,0.02608779454345906,False,0.012720789919072733,True
0.14168999224449902,0.021084381959257208,0.1756716833943856,0.2158778763135731,0.04285017427402426,0.07735079688491522,14.199801097172857,0.14168999224449902,True,0.16310904945313973,False,0.037671327188858544,False
