rmax1,beta1,rmax2,beta2,rmax3,beta3,rmax4,beta4,opt_growth,ropt1,ageless1,ropt2,ageless2,ropt3,ageless3,ropt4,ageless4
0.089280838955164,0.09226515040987235,0.1670700733908689,0.04626587785221753,0.0019016020918988204,0.11770141990146116,0.009974447465997927,0.07404438926383325,18.161271360904767,0.089280838955164,True,0.10229489451731896,False,0.0019016020918988202,False,0.009974447465997927,True
0.12803103791234327,0.07871491597455203,0.019180179697255544,0.17775986579510683,0.08163499589905482,0.02897817793467832,0.08210228871261033,0.17219892131050543,16.306157646938914,0.12803103791234327,True,0.01918017969725554,False,0.045434164616194074,False,0.07575267006849899,False
0.1791395677846292,0.192046852210995,0.01048382205979325,0.041805806967061925,0.007615266443994833,0.2358037010575495,0.07192631440470874,0.1594240300159404,16.799194975763797,0.1791395677846292,True,0.00997265389648901,False,0.007615266443994833,True,0.06781118863079566,False
0.049480907583299163,0.07161550888941642,0.004106822533700509,0.22060104101475142,0.1539227633439119,0.006958435135529836,0.19908675891920258,0.005895067938145774,20.337318981229384,0.049480907583299163,True,0.004106822533700509,True,0.032335743453648924,False,0.035399478200466,False
0.07195809529507417,0.10856614477889977,0.19562448605774355,0.0382923771540993,0.09472805066037068,0.03524131929741838,0.08648267276510775,0.18763788018385333,14.563163547241011,0.07195809529507417,True,0.09430098140166301,False,0.048492171298065066,False,0.07704038855355543,False
0.03627119129093143,0.2976589204272448,0.021643390311333503,0.11020358018949045,0.029403012139386175,0.050133300626603254,0.07762112851315363,0.06491319159282528,20.27690173941526,0.03627119129093143,True,0.021643390311333503,True,0.02465775728831448,False,0.06166260502193578,False
0.15915099857456858,0.23908617793034825,0.054682718111008236,0.22418132976362637,0.1743477485438409,0.2281039828632989,0.019080605260508608,0.23435289143203508,12.783796696526494,0.15915099857456858,True,0.05302688447834321,False,0.16044641460557363,False,0.019080605260508608,True
0.023899815764848856,0.0501610920281186,0.011109244516860385,0.04018386849725143,0.12339039501739253,0.09449817476219227,0.1228107462904597,0.25222767560666814,16.853615721548582,0.023899815764848856,True,0.01002807729217148,False,0.09994554133531902,False,0.1162923954238218,False
0.043937301720139176,0.2763201141492031,0.16731297400820316,0.039757788140368275,0.06765108952519341,0.16409088007730577,0.04384834714116871,0.2795505912537934,16.777565427782896,0.043937301720139176,True,0.0933039609094381,False,0.062326885290813344,False,0.04384834714116871,True
0.12290779670089487,0.07243045767986152,0.19314707740401726,0.29840295113423204,0.0620489641273734,0.2582972558600006,0.18661619589354558,0.2708510110853284,8.449392541145736,0.12290779670089487,True,0.17623021211116954,False,0.05853330518423708,False,0.1684775853037051,False
0.12896698778684004,0.021123995862241934,0.10420539797354338,0.2931306976743579,0.074879009067778,0.14561797521384395,0.06083909535911572,0.1409231233145747,13.883952750942623,0.12896698778684004,True,0.10048359105251159,False,0.06830756679114672,False,0.05600987239858959,False
0.042760842855129766,0.07718663956239431,0.007276758199300661,0.23014135602183,0.15079900835978655,0.17244435785096635,0.17707562720502518,0.1471530635746826,14.172957535710221,0.042760842855129766,True,0.007276758199300661,True,0.13188419162568338,False,0.14902619397233613,False
0.06553005585341287,0.2707125915083687,0.09885410350936277,0.09754228247722316,0.05440732437967754,0.0721666344876567,0.08621947480993336,0.1739357390424743,16.14075305655337,0.06553005585341287,True,0.08156814137543328,False,0.04416892145518693,False,0.07954585555750471,False
0.053865814748185914,0.19128104455384462,0.06548673880516206,0.22212441404816222,0.07034071171762306,0.1034290032115653,0.047531194892906775,0.09852578363501954,17.892296920095397,0.053865814748185914,True,0.06392595643719373,False,0.06218797605772242,False,0.04311593252796123,False
